Name,ID,SMILES,inchi,LogS
"2,4-dichlorophenol",,Oc1ccc(Cl)cc1Cl,HFZWRUODUSTPEG-UHFFFAOYSA-N,-1.558983084
"3,5-dichlorophenol",,Oc1cc(Cl)cc(Cl)c1,VPOMSPZBQMDLTM-UHFFFAOYSA-N,-1.559
"1,3,5-triazine-2,4,6-triamine",,Nc1nc(N)nc(N)n1,JDSHMPZPIAZGSV-UHFFFAOYSA-N,-1.559215049
dithioxomethane,,S=C=S,QGJOPFRUJISHPQ-UHFFFAOYSA-N,-1.559422096
"butanoic acid, 1,2-ethanediylbis(oxy-2,1-ethaned",,CCCC(=O)OCCOCCOCCOC(=O)CCC,AJMJPGWUPHIMKQ-UHFFFAOYSA-N,-1.5598
"3-pentanol, 3-methyl-, carbamate",,CCC(C)(CC)OC(N)=O,SLWGJZPKHAXZQL-UHFFFAOYSA-N,-1.5599
2-mercapto-3-phenylpropionic  acid;  2-mercapto-3-phenylpropanoic acid,,OC(=O)C(S)CC1=CC=CC=C1,HGIOOMCLOWLFTJ-UHFFFAOYSA-N,-1.56
7-methyl-3h-pteridin-4-one,,CC1=NC2=C(N=C1)C(=O)NC=N2,ZFKCYEYVBSXGLU-UHFFFAOYSA-N,-1.56
"2,4-Octadione",,CCCCC(=O)CC(=O)C,GJYXGIIWJFZCLN-UHFFFAOYSA-N,-1.56
"3-chloro-2,6-dimethoxyphenol",,COC1=CC=C(Cl)C(OC)=C1O,WYEMCZZCZXKDNC-UHFFFAOYSA-N,-1.56
4-[3-[(propan-2-ylamino)methyl]phenyl]sulfonylthiophene-2-sulfonamide,,CC(C)NCC1=CC=CC(S(=O)(=O)C2=CSC(S(N)(=O)=O)=C2)=C1,YZGNQQGKNDGUQL-UHFFFAOYSA-N,-1.56
"triethylene glycol, dinitrate",,[O-][N+](=O)OCCOCCOCCO[N+]([O-])=O,AGCQZYRSTIRJFM-UHFFFAOYSA-N,-1.561
ranimustine,,COC1OC(CNC(=O)N(CCCl)N=O)C(O)C(O)C1O,AHHFEZNOXOZZQA-UHFFFAOYSA-N,-1.5613
1-methyl uric acid,,CN1C(=O)NC2=C(NC(=O)N2)C1=O,QFDRTQONISXGJA-UHFFFAOYSA-N,-1.5614
benzenesulfonamide,,N[S](=O)(=O)c1ccccc1,KHBQMWCZKVMBLN-UHFFFAOYSA-N,-1.563
(4-chlorophenyl)hydrazine,,[H+].[Cl-].NNc1ccc(Cl)cc1,YQVZREHUWCCHHX-UHFFFAOYSA-N,-1.563665466
"butanamide, n-(aminocarbonyl)-2-cyano-2-ethyl-",,CCC(CC)(C#N)C(=O)NC(N)=O,RMBXZSQVALTSOC-UHFFFAOYSA-N,-1.564
nitrogen oxide,,[N-]=[N+]=O,GQPLMRYTRLFLPF-UHFFFAOYSA-N,-1.564399726
"hexahydro-2-benzofuran-1,3-dione",,O=C1OC(=O)C2CCCCC12,MUTGBJKUEZFXGO-UHFFFAOYSA-N,-1.564736497
cyclopentadiene,,C1C=CC=C1,ZSWFCLXCOIISFI-UHFFFAOYSA-N,-1.565
cefaclor (panoral),,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)Cl)c3ccccc3,QYIYFLOTGYLRGG-GPCCPHFNSA-N,-1.5656
"benzeneacetic acid, -[(sulfooxy)methyl]-, 8-meth",,CN1C2CCC1CC(C2)OC(=O)C(CO[S](O)(=O)=O)c3ccccc3,GMLBHJMTVBLXLJ-UHFFFAOYSA-N,-1.5675
"acetamide, 2-(acetylamino)-n-phenyl-",,CC(=O)NCC(=O)Nc1ccccc1,WTMBVEKOTAHGAB-UHFFFAOYSA-N,-1.5678
"1,3-propanediol, 2,2-bis (acetyloxy)methyl -, di",,CC(=O)OCC(COC(C)=O)(COC(C)=O)COC(C)=O,OUHCZCFQVONTOC-UHFFFAOYSA-N,-1.5686
"benzeneacetic acid, .alpha.-(ethylthio)-",,CCSC(C(O)=O)c1ccccc1,MMJGSXQXUWECJL-UHFFFAOYSA-N,-1.5686
"phosphonic acid, ethyl-, dibutyl ester",,CCCCO[P](=O)(CC)OCCCC,SBRBXWIDHBSVPD-UHFFFAOYSA-N,-1.5687
"1h-purine-2,6-dione, 8-ethyl-3,7-dihydro-1,3,7-t",,CCc1nc2N(C)C(=O)N(C)C(=O)c2n1C,DRWCPERSPGFNIK-UHFFFAOYSA-N,-1.5687
"d-glutamine, n2-l-leucyl-",,CC(C)C[C@H](N)C(=O)N[C@H](CCC(N)=O)C(O)=O,JYOAXOMPIXKMKK-JGVFFNPUSA-N,-1.5687
"disodium 4-amino-3,6-bis[(E)-2-{4-[(E)-2-(2,4-diaminophenyl)diazen-1-yl]phenyl}diazen-1-yl]-5-hydroxynaphthalene-2,7-disulfonate",,[Na+].[Na+].Nc1ccc(N=Nc2ccc(N\N=C\3C(=O)c4c(N)c(N=Nc5ccc(cc5)N=Nc6ccc(N)cc6N)c(cc4C=C3[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc2)c(N)c1,WYURLZIZBYCORX-DMVGOSKESA-L,-1.568718144
"5-amino-2,4,6-triiodoisophthalic acid",,Nc1c(I)c(C([O-])=O)c(I)c(C([O-])=O)c1I,JEZJSNULLBSYHV-UHFFFAOYSA-L,-1.569622787
"7-hydroxy-4-oxo-4,5,6,7-tetrahydro-2-sulfamoylthieno[3,2-b]thiopyran",,N[S](=O)(=O)C1=CC2=C(S1)C(O)CC[S]2=O,XEROSHXMTSNDBW-UHFFFAOYSA-N,-1.57
n-(benzoyloxyacetyl)pyrrolidine,,O=C(COC(=O)C1=CC=CC=C1)N2CCCC2,GILNGPKTMRSQDW-UHFFFAOYSA-N,-1.57
"2-benzoyloxy-n,n-bis(2-methoxyethyl)acetamide; n,n-bis(2-methoxyethyl)-2-benzoyloxyacetamide",,COCCN(CCOC)C(=O)COC(=O)C1=CC=CC=C1,LJCFRMUKLSCNKV-UHFFFAOYSA-N,-1.57
"2-Amino-2-(4-aminophenyl)-N-[(2R,5S,6S)-3,3-dimethyl-7-oxo-2-(2H-tetrazol-5-yl)-4-thia-1-azabicyclo[3.2.0]hept-6-yl]acetamide",,CC1(C)SC2C(NC(=O)C(N)C3=CC=C(N)C=C3)C(=O)N2C1C4=NN=N[NH]4,KKJLKMXROHVRMW-UHFFFAOYSA-N,-1.57
2-pentafluorophenylsulfonylamino-4-(4-sulfamoylphenylamino)pyrimidine;  n4-[2-(pentafluorophenylsulfonylamino)pyrimidin-4-yl]sulfanilamide,,N[S](=O)(=O)C1=CC=C(NC2=NC(=NC=C2)N[S](=O)(=O)C3=C(F)C(=C(F)C(=C3F)F)F)C=C1,OJHDVAOAFKILCS-UHFFFAOYSA-N,-1.57
psicofuranine,,Nc1ncnc2n(cnc12)[C@]3(CO)O[C@H](CO)[C@@H](O)[C@H]3O,BNZYRKVSCLSXSJ-IOSLPCCCSA-N,-1.5701
3-methyl-4-chlorophenol,,Cc1cc(O)ccc1Cl,CFKMVGJGLGKFKI-UHFFFAOYSA-N,-1.5704
dioxacarb,,CNC(=O)Oc1ccccc1C2OCCO2,SDKQRNRRDYRQKY-UHFFFAOYSA-N,-1.5706
disodium 8-[[4-[[(4-methylphenyl)sulphonyl]oxy]phenyl]azo]-5-[[4-[(4-nitro-2-sulphonatophenyl)amino]phenyl]azo]naphthalene-1-sulphonate,,[Na+].[Na+].Cc1ccc(cc1)[S](=O)(=O)Oc2ccc(cc2)N=Nc3ccc(N=Nc4ccc(Nc5ccc(cc5[S]([O-])(=O)=O)[N+]([O-])=O)cc4)c6ccc(cc36)[S]([O-])(=O)=O,BXMJSZZPKAWJHR-UHFFFAOYSA-L,-1.570984747
"2,2,4-trimethylhexanedinitrile; 2,4,4-trimethylhexanedinitrile",,CC(CC#N)CC(C)(C)C#N.CC(CC(C)(C)CC#N)C#N,CMIRRYUUJFPVJI-UHFFFAOYSA-N,-1.574682221
disodium 2-(6-oxido-3-oxo-3H-xanthen-9-yl)benzoate,,[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=CC(=O)C=C3Oc4cc([O-])ccc24,NJDNXYGOVLYJHP-UHFFFAOYSA-L,-1.575505364
"sodium 3-(2H-1,2,3-benzotriazol-2-yl)-5-(butan-2-yl)-4-hydroxybenzene-1-sulfonate",,[Na+].CCC(C)c1cc(cc(n2nc3ccccc3n2)c1O)[S]([O-])(=O)=O,XTXADMXOEMEPAC-UHFFFAOYSA-M,-1.57624495
ethyl 2-methylbut-3-enoate,,CCOC(=O)C(C)C=C,WDCCXADRWCXXOR-UHFFFAOYSA-N,-1.576310856
"disodium 7-[(dichloro-1,3,5-triazin-2-yl)amino]-4-hydroxy-3-(2-{4-[2-(sulfonatooxy)ethanesulfonyl]phenyl}diazen-1-yl)naphthalene-2-sulfonate",,[Na+].[Na+].Oc1c2ccc(Nc3nc(Cl)nc(Cl)n3)cc2cc(c1N=Nc4ccc(cc4)[S](=O)(=O)CCO[S]([O-])(=O)=O)[S]([O-])(=O)=O,QPRQPQPFGRDKCN-UHFFFAOYSA-L,-1.578382357
cephalexin,,CC1=C(N2C(SC1)C(NC(=O)C(N)C3=CC=CC=C3)C2=O)C(O)=O,ZAIPMKNFIOOWCQ-UHFFFAOYSA-N,-1.58
2-[(2-amino-4-methylpentanoyl)amino]-3-(4-hydroxyphenyl)propanoic acid,,CC(C)CC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)O,LHSGPCFBGJHPCY-UHFFFAOYSA-N,-1.58
1-chloroacridin-9-amine,,NC1=C2C(Cl)=CC=CC2=NC2=C1C=CC=C2,QGLBQYVHYYPKGD-UHFFFAOYSA-N,-1.58
"N,2-dimethyl-N-phenylbutanamide",,CCC(C)C(=O)N(C)c1ccccc1,LNODIGSABOGNBQ-UHFFFAOYSA-N,-1.580579513
"benzoic acid, 4-fluoro-3-nitro-",,OC(=O)c1ccc(F)c(c1)[N+]([O-])=O,BOJWTAQWPVBIPG-UHFFFAOYSA-N,-1.5809
"1,1,2-trichloroethane",,ClCC(Cl)Cl,UBOXGVDOUJQMTN-UHFFFAOYSA-N,-1.581104063
"acetic acid, [2-methoxy-4-(1-propenyl)phenoxy]-",,COc1cc(\C=C\C)ccc1OCC([O-])=O,UORQJKKOBXSGRG-ONEGZZNKSA-M,-1.5826
disilver(1+) sulfate,,[Ag+].[Ag+].O[S](O)(=O)=O,YPNVIBVEFVRZPJ-UHFFFAOYSA-N,-1.58498354
pentrinitrol,,OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,BRBAEHHXGZRCBK-UHFFFAOYSA-N,-1.585
"4-heptanol, 4-methyl-",,CCCC(C)(O)CCC,IQXKGRKRIRMQCQ-UHFFFAOYSA-N,-1.5867
"6-hydroxy-1,4-dihydropyrimidin-4-one",,OC1=CC(=O)NC=N1,DUFGYCAXVIUXIP-UHFFFAOYSA-N,-1.587161122
"benzoic acid, 2-benzoylhydrazide",,O=C(NNC(=O)c1ccccc1)c2ccccc2,GRRIYLZJLGTQJX-UHFFFAOYSA-N,-1.5883
Tenofovir Disoproxil,CAS201341-05-1,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,JFVZFKDSXNQEJW-CQSZACIVSA-N,-1.59
"1,1-dichloroethene",,ClC(Cl)=C,LGXVIGDEPROXKC-UHFFFAOYSA-N,-1.588580927
"6-hydroxy-6,7-dihydro-5h-2-sulfamoylthieno[3,2-b]thiopyran-4,4-dioxide",,N[S](=O)(=O)C1=CC2=C(CC(O)C[S]2(=O)=O)S1,ZGRYQDHDZGJMNF-UHFFFAOYSA-N,-1.59
butyl  5-fluorouracil-1-carboxylate;  1-butoxycarbonyl-5-fluorouracil,,CCCCOC(=O)N1C=C(F)C(=O)NC1=O,ZVRNEWNIEVRTIK-UHFFFAOYSA-N,-1.59
n-(benzoyloxyacetyl)proline,,OC(=O)C1CCCN1C(=O)COC(=O)C2=CC=CC=C2,GZXGHZDSFNQRKK-UHFFFAOYSA-N,-1.59
(4Z)-4-(Pyridine-4-carbonylhydrazinylidene)pentanoic acid,,CC(CCC(=O)O)=NNC(=O)C1=CC=NC=C1,VOXWRPFVWYTAMA-UHFFFAOYSA-N,-1.59
"1-naphthalenepropanoic acid, .beta.-amino-, (ñ)",,[NH3+][C@H](CC([O-])=O)c1cccc2ccccc12,BIOQBKBTOAMMDG-GFCCVEGCSA-N,-1.5902
2-ethylacetanilide,,CCc1ccccc1NC(C)=O,ZXOVAGUQXNXKHF-UHFFFAOYSA-N,-1.5906
"N-(2,5-dimethoxyphenyl)acetamide",,COc1ccc(OC)c(NC(C)=O)c1,HOZRMSVNIKYCMB-UHFFFAOYSA-N,-1.591549855
"1,2-cyclohexanedione, 3-methyl-, dioxime",,CC1CCCC(=NO)C1=NO,KVMQRKQPHOCZHY-UHFFFAOYSA-N,-1.5916
"urea, (4-methoxyphenyl)-",,COc1ccc(NC(N)=O)cc1,PGUKYDVWVXRPKK-UHFFFAOYSA-N,-1.5917
"l-proline, n-[(benzoyloxy)acetyl]-",,OC(=O)[C@@H]1CCCN1C(=O)COC(=O)c2ccccc2,GZXGHZDSFNQRKK-NSHDSACASA-N,-1.5917
calcium bis(2-ethylhexanoate),,[Ca++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,LTPCXXMGKDQPAO-UHFFFAOYSA-L,-1.591715559
6'-methoxycinchonan-9-ol sulfate (salt),,COc1ccc2nccc(C(O)C3CC4CCN3CC4C=C)c2c1.O[S](O)(=O)=O,AKYHKWQPZHDOBW-UHFFFAOYSA-N,-1.592406042
Reboxetine,CAS98769-81-4,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,CBQGYUDMJHNJBX-RTBURBONSA-N,-1.59
dopa,,NC(Cc1ccc(O)c(O)c1)C(O)=O,WTDRDQBEARUVNC-UHFFFAOYSA-N,-1.5959
"2-bornanecarboxylic acid, 2-amino-",,CC1(C)C2CCC1(C)C(N)(C2)C(O)=O,JZJKRUCQCUXZTD-UHFFFAOYSA-N,-1.5961
methyl p-aminobenzoate,,COC(=O)c1ccc(N)cc1,LZXXNPOYQCLXRS-UHFFFAOYSA-N,-1.5974
"benzoic acid, 2-(trifluoromethyl)-",,OC(=O)c1ccccc1C(F)(F)F,FBRJYBGLCHWYOE-UHFFFAOYSA-N,-1.5978
"1,3-dichloropropene (trans)",,ClC/C=C/Cl,UOORRWUZONOOLO-OWOJBTEDSA-N,-1.598
2-[(4-aminophenyl)amino]-5-nitrobenzene-1-sulfonic acid,,Nc1ccc(Nc2ccc(cc2[S](O)(=O)=O)[N+]([O-])=O)cc1,GSITZZUEHIPPMH-UHFFFAOYSA-N,-1.59828953
2-bromopropane,,CC(C)Br,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,-1.598518701
2-anisic  acid;  2-methoxybenzoic  acid,,COC1=CC=CC=C1C(O)=O,ILUJQPXNXACGAN-UHFFFAOYSA-N,-1.6
metalaxyl;  apron   (racemate),,COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C,ZQEIXNIJLIKNTD-UHFFFAOYSA-N,-1.6
"n,n-diethyl-2-[(2-acetoxy)benzoyloxy]propanoic acid amide",,CCN(CC)C(=O)C(C)OC(=O)C1=CC=CC=C1OC(C)=O,OHSFPCVLIJXOLL-UHFFFAOYSA-N,-1.6
4-(3-adamantan-1-ylureido)butanoic acid,,OC(=O)CCCNC(=O)N[C]12C[CH]3[CH2]C([CH2][CH](C3)C1)C2,NJUKVGCFDZUOHB-UHFFFAOYSA-N,-1.6
1-(hydroxymethyl)phenobarbital,,CCC1(C(=O)NC(=O)N(CO)C1=O)C2=CC=CC=C2,ZHCBZZQETYNMFV-UHFFFAOYSA-N,-1.6
"6-Methyl-2,4-heptadione",,CC(C)CC(=O)CC(=O)C,IGMOYJSFRIASIE-UHFFFAOYSA-N,-1.6
"methyl 3,5-dihydroxy-4-methoxybenzoate",,COC(=O)C1=CC(O)=C(OC)C(O)=C1,SUGIJIFASYORQN-UHFFFAOYSA-N,-1.6
N-{(E)-[5-(Hydroxymethyl)-2-methyl-3-oxo-4(3H)-pyridinylidene]methyl}-L-valine,,CC1=NC=C(CO)C(C=NC(C(=O)O)C(C)C)=C1O,FDVIWMOCISPIHI-UHFFFAOYSA-N,-1.6
"N,N-dimethyloctanamide",,CCCCCCCC(=O)N(C)C,VHRUBWHAOUIMDW-UHFFFAOYSA-N,-1.600248341
"4-cycloocten-1-amine, n,n-dimethyl-",,CN(C)C1CCCC=CCC1,BRRJALXGYRSYAI-UHFFFAOYSA-N,-1.6004
"2,4-dimethyl-1-pentanol",,CC(C)CC(C)CO,OVOVDHYEOQJKMD-UHFFFAOYSA-N,-1.6007
"disodium 3,3'-[[6-[bis(2-hydroxyethyl)amino]-1,3,5-triazine-2,4-diyl]bis[imino(3-methoxy-4,1-phenylene)azo]]bis[benzenesulphonate]",,[Na+].[Na+].COc1cc(ccc1Nc2nc(Nc3ccc(cc3OC)N=Nc4cccc(c4)[S]([O-])(=O)=O)nc(n2)N(CCO)CCO)N=Nc5cccc(c5)[S]([O-])(=O)=O,NUTZBMSWUMFSIW-UHFFFAOYSA-L,-1.600815525
iodoethane,,CCI,HVTICUPFWKNHNG-UHFFFAOYSA-N,-1.6009
pentyl formate,,CCCCCOC=O,DIQMPQMYFZXDAX-UHFFFAOYSA-N,-1.602059991
1-propanethiol,,CCCS,SUVIGLJNEAMWEG-UHFFFAOYSA-N,-1.6021
"3-(3-carbamoyl-6-hydroxy-4-methyl-2-oxo-1,2-dihydropyridin-1-yl)propanoic acid",,CC1=C(C(N)=O)C(=O)N(CCC(O)=O)C(=C1)O,OQWXGSNZZDHKAP-UHFFFAOYSA-N,-1.602448873
"1,4-dithiane",,C1CSCCS1,LOZWAPSEEHRYPG-UHFFFAOYSA-N,-1.6029
metsulfuron-methyl,,COC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(C)nc(OC)n2,RSMUVYRMZCOLBH-UHFFFAOYSA-N,-1.604
4-aminoacetophenone,,CC(=O)c1ccc(N)cc1,GPRYKVSEZCQIHD-UHFFFAOYSA-N,-1.6058
n4-acetylsulfanilamide,,CC(=O)Nc1ccc(cc1)[S](N)(=O)=O,PKOFBDHYTMYVGJ-UHFFFAOYSA-N,-1.6066
tert-butyl 2-methylpropaneperoxoate,,CC(C)C(=O)OOC(C)(C)C,PFBLRDXPNUJYJM-UHFFFAOYSA-N,-1.607002567
C.i. Direct blue 80,,[Na+].[Na+].[Na+].[Na+].[Cu++].[Cu++].[O-]c1cc(ccc1N=Nc2c([O-])c(cc3cc(ccc23)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N=Nc5c([O-])c(cc6cc(ccc56)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c([O-])c4,FTGXCLZZPPMCHU-UHFFFAOYSA-F,-1.607428748
anisomycin,,COc1ccc(C[C@@H]2NC[C@@H](O)[C@@H]2OC(C)=O)cc1,YKJYKKNCCRKFSL-BFHYXJOUSA-N,-1.6075
"azetidine, 1-[benzoyloxy(acetyl)]-",,O=C(COC(=O)c1ccccc1)N2CCC2,RSDMFNVRFBIYRK-UHFFFAOYSA-N,-1.6085
benzyl methyl ether,,COCc1ccccc1,GQKZBCPTCWJTAS-UHFFFAOYSA-N,-1.6098
ethallobarbital;  5-allyl-5-ethylbarbituric  acid,,CCC1(CC=C)C(=O)NC(=O)NC1=O,QPADNTZLUBYNEN-UHFFFAOYSA-N,-1.61
Anisomycin,,COc2ccc(CC1NCC(O)C1OC(C)=O)cc2,YKJYKKNCCRKFSL-UHFFFAOYSA-N,-1.61
"5-(2-hydroxyethyl)-5-propyl-2-sulfanylidene-1,3-diazinane-4,6-dione",,CCCC1(CCO)C(=O)NC(=S)NC1=O,QCWBDMSQWLNWJC-UHFFFAOYSA-N,-1.61
fenuron,,CN(C)C(=O)Nc1ccccc1,XXOYNJXVWVNOOJ-UHFFFAOYSA-N,-1.6101
tri-2-chloroethyl phosphate,,ClCCO[P](=O)(OCCCl)OCCCl,HQUQLFOMPYWACS-UHFFFAOYSA-N,-1.6105
"pentanoic acid, 4-oxo-3-(phenylmethylene)-",,CC(=O)C(CC(O)=O)=Cc1ccccc1,BNQYXFAVUMPZFG-UHFFFAOYSA-N,-1.6111
butyl cinnamate,,CCCCOC(=O)/C=C/c1ccccc1,OHHIVLJVBNCSHV-MDZDMXLPSA-N,-1.6112
methylguanidine,,CN=C(N)N,CHJJGSNFBQVOTG-UHFFFAOYSA-N,-1.6135
"1,3-dichloropropane",,ClCCCCl,YHRUOJUYPBUZOS-UHFFFAOYSA-N,-1.6137
"1,2-dichloropropene",,C\C(Cl)=C\Cl,PPKPKFIWDXDAGC-IHWYPQMZSA-N,-1.6138
"1,2-dichloropropene",,CC(Cl)=CCl,PPKPKFIWDXDAGC-UHFFFAOYSA-N,-1.614
1-aminoguanidine; carbonic acid,,NN=C(N)N.OC(O)=O,OTXHZHQQWQTQMW-UHFFFAOYSA-N,-1.615379285
"benzamide, n-(2-amino-1,1-dimethyl-2-oxoethyl)-",,CC(C)(NC(=O)c1ccccc1)C(N)=O,GNFOQSWHSQTXHR-UHFFFAOYSA-N,-1.6154
isoflurane,,FC(F)OC(Cl)C(F)(F)F,PIWKPBJCKXDKJR-UHFFFAOYSA-N,-1.6157
3-trifluoromethyl-4-nitrophenol,,Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,ZEFMBAFMCSYJOO-UHFFFAOYSA-N,-1.6172
"1(2h)-pyrimidinecarboxamide, 5-fluoro-3,4-dichlo",,FC1=CN(C(=O)NC1=O)C(=O)Nc2ccccc2,PXXNTSRWKSCFCK-UHFFFAOYSA-N,-1.6184
"acetamide, 2,2-dichloro-n,n-di-2-propenyl-",,ClC(Cl)C(=O)N(CC=C)CC=C,YRMLFORXOOIJDR-UHFFFAOYSA-N,-1.6193
"phosphonic acid, 1-naphthalenyl-",,O[P](O)(=O)c1cccc2ccccc12,YOOYVODKUBZAPO-UHFFFAOYSA-N,-1.6194
penbutolol,,CC(C)(C)NC[C@@H](O)COc1ccccc1C2CCCC2,KQXKVJAGOJTNJS-OAHLLOKOSA-N,-1.6195
benzoic acid,,OC(=O)c1ccccc1,WPYMKLBDIGXBTP-UHFFFAOYSA-N,-1.619929844
4-aminotoluene-2-sulfonic acid,,CC1=C(C=C(N)C=C1)[S](O)(=O)=O,BRKFTWHPLMMNHF-UHFFFAOYSA-N,-1.62
"5-(4-acetylaminobenzenesulfonamido)-1,3,4-thiadiazole-2-sulfonamide",,CC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC2=NN=C(S2)[S](N)(=O)=O,NQSAAPCTPUNSPD-UHFFFAOYSA-N,-1.62
Thiofanox,,O=C(ON=C(C(C)(C)C)CSC)NC,FZSVSABTBYGOQH-UHFFFAOYSA-N,-1.62
4-[4-hydroxy-4-(4-methylphenyl)piperidin-1-yl]-1-phenylbutan-1-one,,CC1=CC=C(C2(O)CCN(CCCC(=O)C3=CC=CC=C3)CC2)C=C1,QFAAHFQCTYZMLF-UHFFFAOYSA-N,-1.62
"N,N-dimethyl-3-[1-(phenylmethyl)cycloheptyl]oxypropan-1-amine",,CN(C)CCCOC1(CC2=CC=CC=C2)CCCCCC1,FYJJXENSONZJRG-UHFFFAOYSA-N,-1.62
6-methylhept-5-en-2-one,,CC(C)=CCCC(C)=O,UHEPJGULSIKKTP-UHFFFAOYSA-N,-1.621048971
"1,2-dichloropropane",,CC(Cl)CCl,KNKRKFALVUDBJE-UHFFFAOYSA-N,-1.621664713
"1,1-dichloropropane",,CCC(Cl)Cl,WIHMGGWNMISDNJ-UHFFFAOYSA-N,-1.6217
malaoxon,,CCOC(=O)CC(S[P](=O)(OC)OC)C(=O)OCC,WSORODGWGUUOBO-UHFFFAOYSA-N,-1.6223
2-hydroxy-3-phenoxypropyl prop-2-enoate,,CCCOC(=O)C(/O)=C/Oc1ccccc1,FOKZHJCFBNVOAV-LUAWRHEFSA-N,-1.622546359
thiofanox,,CNC(=O)O\N=C(\CSC)C(C)(C)C,FZSVSABTBYGOQH-XFFZJAGNSA-N,-1.6231
"4,4'-methylenebis(cyclohexylamine)",,NC1CCC(CC1)CC2CCC(N)CC2,DZIHTWJGPDVSGE-UHFFFAOYSA-N,-1.62400348
Linezolid,CAS165800-03-3,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,TYZROVQLWOKYKF-ZDUSSCGKSA-N,-1.62
1-butyl theobromine,,CCCCN1C(=O)N(C)c2ncn(C)c2C1=O,ZCUPBJOZMPROIJ-UHFFFAOYSA-N,-1.6252
undecanedioic acid,,OC(=O)CCCCCCCCCC(O)=O,LWBHHRRTOZQPDM-UHFFFAOYSA-N,-1.6274
4-chloroaniline,,Nc1ccc(Cl)cc1,QSNSCYSYFYORTR-UHFFFAOYSA-N,-1.628640918
"5-pyrimidineacetic acid, 1,2,3,4-tetrahydro-2,4-",,OC(=O)CC1=CNC(=O)NC1=O,ZVGODTQUYAKZMK-UHFFFAOYSA-N,-1.6287
6-heptyloxan-2-one,,CCCCCC1CCCC(=O)O1,GHBSPIPJMLAMEP-UHFFFAOYSA-N,-1.629032231
"(2,2-dimethoxyethyl)benzene",,COC(Cc1ccccc1)OC,WNJSKZBEWNVKGU-UHFFFAOYSA-N,-1.629618671
4-acetamidobenzaldehyde; 4-acetylaminobenzaldehyde,,CC(=O)NC1=CC=C(C=O)C=C1,SKLUWKYNZNXSLX-UHFFFAOYSA-N,-1.63
2-methyl-4(5)-nitroimidazole,,CC1=NC=C([NH]1)[N+]([O-])=O,FFYTTYVSDVWNMY-UHFFFAOYSA-N,-1.63
"5,5-Dimethyl-2,4-hexadione",,CC(C)(C)C(=O)CC(=O)C,LCLCVVVHIPPHCG-UHFFFAOYSA-N,-1.63
"1-butyl-3-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)urea",,CCCCNC(=O)NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O,PQFDUCZWWSHNBL-UHFFFAOYSA-N,-1.63
"3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C(=O)O,JGSARLDLIJGVTE-UHFFFAOYSA-N,-1.63
5-methylheptan-3-one,,CCC(C)CC(=O)CC,PSBKJPTZCVYXSD-UHFFFAOYSA-N,-1.630817582
piperonal,,O=Cc1ccc2OCOc2c1,SATCULPHIDQDRE-UHFFFAOYSA-N,-1.6324
p-bromophenylurea,,NC(=O)Nc1ccc(Br)cc1,PFQUUCXMPUNRLA-UHFFFAOYSA-N,-1.6336
terpin,,CC(C)(O)C1CCC(C)(O)CC1,RBNWAMSGVWEHFP-UHFFFAOYSA-N,-1.634
2-[(butylcarbamoyl)oxy]ethyl prop-2-enoate,,CCCCNC(=O)OCCOC(=O)C=C,FLKHVLRENDBIDB-UHFFFAOYSA-N,-1.634840597
pyroquilon,,O=C1CCc2cccc3CCN1c23,XRJLAOUDSILTFT-UHFFFAOYSA-N,-1.6365
2-(dibutylamino)ethan-1-ol,,CCCCN(CCO)CCCC,IWSZDQRGNFLMJS-UHFFFAOYSA-N,-1.636738571
meperidine,,[H+].[Cl-].CCOC(=O)C1(CCN(C)CC1)c2ccccc2,WCNLCIJMFAJCPX-UHFFFAOYSA-N,-1.6368
Dacarbazine,CAS4342-03-4,CN(C)/N=N/c1[nH]cnc1C(N)=O,FDKXTQMXEQVLRF-ZHACJKMWSA-N,-1.64
